类型,代码,名称,完整代码,市场
港股,00173,嘉华国际,00173.HK,HK
港股,00174,盛洋投资,00174.HK,HK
港股,00175,吉利汽车,00175.HK,HK
港股,00176,先机企业集团,00176.HK,HK
港股,00177,江苏宁沪高速公路,00177.HK,HK
港股,00178,莎莎国际,00178.HK,HK
港股,00179,德昌电机控股,00179.HK,HK
港股,00180,开达集团,00180.HK,HK
港股,00181,闽港控股,00181.HK,HK
港股,00182,协合新能源,00182.HK,HK
港股,00183,宏辉集团,00183.HK,HK
港股,00184,激成投资,00184.HK,HK
港股,00185,正商实业,00185.HK,HK
港股,00186,敏捷控股,00186.HK,HK
港股,00187,京城机电股份,00187.HK,HK
港股,00188,新华汇富金融,00188.HK,HK
港股,00189,东岳集团,00189.HK,HK
港股,00191,丽新国际,00191.HK,HK
港股,00193,冠中地产,00193.HK,HK
港股,00194,廖创兴企业,00194.HK,HK
港股,00195,绿科科技国际,00195.HK,HK
港股,00196,宏华集团,00196.HK,HK
港股,00197,亨泰,00197.HK,HK
港股,00199,德祥地产,00199.HK,HK
港股,00200,新濠国际发展,00200.HK,HK
港股,00201,华大酒店,00201.HK,HK
港股,00202,润中国际控股,00202.HK,HK
港股,00204,资本界金控,00204.HK,HK
港股,00205,BFB HEALTH,00205.HK,HK
港股,00206,华商能源,00206.HK,HK
港股,00209,瀛晟科学,00209.HK,HK
港股,00210,达芙妮国际,00210.HK,HK
港股,00211,STYLAND HOLD,00211.HK,HK
港股,00212,NANYANG HOLD,00212.HK,HK
港股,00213,NATIONAL ELEC H,00213.HK,HK
港股,00214,汇汉控股,00214.HK,HK
港股,00215,和记电讯香港,00215.HK,HK
港股,00216,建业实业,00216.HK,HK
港股,00217,中国诚通发展集团,00217.HK,HK
港股,00218,申万宏源香港,00218.HK,HK
港股,00219,顺豪物业,00219.HK,HK
港股,00220,统一企业中国,00220.HK,HK
港股,00222,闽信集团,00222.HK,HK
港股,00223,易生活控股,00223.HK,HK
港股,00224,建生国际,00224.HK,HK
港股,00225,博富临置业,00225.HK,HK
港股,00227,第一上海,00227.HK,HK
港股,00228,中能控股,00228.HK,HK
港股,00229,利民实业,00229.HK,HK
港股,00230,五矿地产,00230.HK,HK
港股,00232,大陆航空科技控股,00232.HK,HK
港股,00234,新世纪集团,00234.HK,HK
港股,00235,中策资本控股,00235.HK,HK
港股,00236,香港生力啤,00236.HK,HK
港股,00237,安全货仓,00237.HK,HK
港股,00239,白花油,00239.HK,HK
港股,00240,利基控股,00240.HK,HK
港股,00241,阿里健康,00241.HK,HK
港股,00242,信德集团,00242.HK,HK
港股,00243,QPL INT'L,00243.HK,HK
港股,00244,先施,00244.HK,HK
港股,00245,中薇金融,00245.HK,HK
港股,00247,TST PROPERTIES,00247.HK,HK
港股,00248,香港通讯国际控股,00248.HK,HK
港股,00251,爪哇控股,00251.HK,HK
港股,00252,华信地产财务,00252.HK,HK
港股,00253,顺豪控股,00253.HK,HK
港股,00254,国家联合资源,00254.HK,HK
港股,00255,龙记集团,00255.HK,HK
港股,00256,冠城钟表珠宝,00256.HK,HK
港股,00257,光大环境,00257.HK,HK
港股,00258,汤臣集团,00258.HK,HK
港股,00259,亿都(国际控股),00259.HK,HK
港股,00261,GBA集团,00261.HK,HK
港股,00262,迪臣发展国际,00262.HK,HK
港股,00264,中联发展控股,00264.HK,HK
港股,00265,港誉智慧城市服务,00265.HK,HK
港股,00266,天德地产,00266.HK,HK
港股,00267,中信股份,00267.HK,HK
港股,00268,金蝶国际,00268.HK,HK
港股,00269,中国资源交通,00269.HK,HK
港股,00270,粤海投资,00270.HK,HK
港股,00271,亚证地产,00271.HK,HK
港股,00272,瑞安房地产,00272.HK,HK
港股,00274,复兴亚洲,00274.HK,HK
港股,00276,蒙古能源,00276.HK,HK
港股,00277,太兴置业,00277.HK,HK
港股,00279,裕承科金,00279.HK,HK
港股,00280,景福集团,00280.HK,HK
港股,00285,比亚迪电子,00285.HK,HK
港股,00286,爱帝宫,00286.HK,HK
港股,00287,永发置业,00287.HK,HK
港股,00288,万洲国际,00288.HK,HK
港股,00289,WING ON CO,00289.HK,HK
港股,00290,国富量子,00290.HK,HK
港股,00291,华润啤酒,00291.HK,HK
港股,00293,国泰航空,00293.HK,HK
港股,00294,长江制衣,00294.HK,HK
港股,00295,江山控股,00295.HK,HK
港股,00296,英皇娱乐酒店,00296.HK,HK
港股,00297,中化化肥,00297.HK,HK
港股,00298,庄士中国,00298.HK,HK
港股,00299,宝新置地,00299.HK,HK
港股,00300,美的集团,00300.HK,HK
港股,00301,三和精化,00301.HK,HK
港股,00302,中手游,00302.HK,HK
港股,00303,VTECH HOLDINGS,00303.HK,HK
港股,00305,五菱汽车,00305.HK,HK
港股,00306,冠忠巴士集团,00306.HK,HK
港股,00308,香港中旅,00308.HK,HK
港股,00309,新华通讯频媒,00309.HK,HK
港股,00310,嘉进投资国际,00310.HK,HK
港股,00311,联泰控股,00311.HK,HK
港股,00312,岁宝百货,00312.HK,HK
港股,00313,裕田中国,00313.HK,HK
港股,00314,思派健康,00314.HK,HK
港股,00315,数码通电讯,00315.HK,HK
港股,00316,东方海外国际,00316.HK,HK
港股,00317,中船防务,00317.HK,HK
港股,00318,黄河实业,00318.HK,HK
港股,00320,金宝通,00320.HK,HK
港股,00321,德永佳集团,00321.HK,HK
港股,00322,康师傅控股,00322.HK,HK
港股,00323,马鞍山钢铁股份,00323.HK,HK
港股,00325,布鲁可,00325.HK,HK
港股,00326,中国星集团,00326.HK,HK
港股,00327,百富环球,00327.HK,HK
港股,00328,ALCO HOLDINGS,00328.HK,HK
港股,00329,东建国际,00329.HK,HK
港股,00330,思捷环球,00330.HK,HK
港股,00331,丰盛生活服务,00331.HK,HK
港股,00332,元亨燃气,00332.HK,HK
港股,00333,黛丽斯国际,00333.HK,HK
港股,00334,华显光电,00334.HK,HK
港股,00335,美建集团,00335.HK,HK
港股,00336,华宝国际,00336.HK,HK
港股,00337,绿地香港,00337.HK,HK
港股,00338,上海石油化工股份,00338.HK,HK
港股,00339,中国科创产业投资,00339.HK,HK
港股,00340,潼关黄金,00340.HK,HK
港股,00341,大家乐集团,00341.HK,HK
港股,00343,文化传信,00343.HK,HK
港股,00345,VITASOY INT'L,00345.HK,HK
港股,00346,延长石油国际,00346.HK,HK
港股,00347,鞍钢股份,00347.HK,HK
港股,00348,中国智能健康,00348.HK,HK
港股,00351,亚洲能源物流,00351.HK,HK
港股,00352,富阳,00352.HK,HK
港股,00353,能源国际投资,00353.HK,HK
港股,00354,中国软件国际,00354.HK,HK
港股,00355,世纪城市国际,00355.HK,HK
港股,00356,鼎立资本,00356.HK,HK
港股,00357,美兰空港,00357.HK,HK
港股,00358,江西铜业股份,00358.HK,HK
港股,00360,新焦点,00360.HK,HK
港股,00361,汉成发展控股,00361.HK,HK
港股,00362,中国天化工,00362.HK,HK
港股,00363,上海实业控股,00363.HK,HK
港股,00365,芯成科技,00365.HK,HK
港股,00366,陆氏集团(越南),00366.HK,HK
港股,00367,庄士机构国际,00367.HK,HK
港股,00368,德合集团,00368.HK,HK
港股,00369,永泰地产,00369.HK,HK
港股,00370,港仔机器人,00370.HK,HK
港股,00371,北控水务集团,00371.HK,HK
港股,00372,保德国际发展,00372.HK,HK
港股,00373,联合集团,00373.HK,HK
港股,00374,四洲集团,00374.HK,HK
港股,00375,YGM TRADING,00375.HK,HK
港股,00376,云锋金融,00376.HK,HK
港股,00377,中国华君,00377.HK,HK
港股,00379,恒嘉融资租赁,00379.HK,HK
港股,00380,中国管业,00380.HK,HK
港股,00381,权识国际,00381.HK,HK
港股,00382,中汇集团,00382.HK,HK
港股,00383,天安卓健,00383.HK,HK
港股,00384,中国燃气,00384.HK,HK
港股,00385,建联集团,00385.HK,HK
港股,00386,中国石油化工股份,00386.HK,HK
港股,00387,力丰(集团),00387.HK,HK
港股,00388,香港交易所,00388.HK,HK
港股,00389,通天酒业,00389.HK,HK
港股,00390,中国中铁,00390.HK,HK
港股,00391,美亚娱乐资讯,00391.HK,HK
港股,00392,北京控股,00392.HK,HK
港股,00393,旭日企业,00393.HK,HK
港股,00396,兴利(香港)控股,00396.HK,HK
